file,size,heuristic_rects,heuristic_sel_pct,heuristic_payload_pct,heuristic_ms,iforest_rects,iforest_sel_pct,iforest_payload_pct,iforest_ms
"100005.49997997284 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,160,33.93,34.24,31,258,14.42,14.92,109
"100054.0229511261 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,253,37.25,37.74,50,256,14.17,14.67,102
"100101.59194993973 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,150,34.08,34.37,31,286,17.64,18.19,110
"100150.17094945908 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,273,37.99,38.52,47,249,15.92,16.4,94
"100197.5699558258 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,163,34.69,35.01,30,279,15.85,16.38,94
"100247.75899600983 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,210,36.59,36.99,62,257,15.48,15.97,96
"100293.5459947586 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,220,36.71,37.13,31,319,17.03,17.64,142
"100343.70499420166 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,178,35.78,36.12,46,271,15.3,15.83,150
"100389.63194465637 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,219,37.57,37.99,46,307,18.58,19.17,158
"100439.72996854782 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,220,36.93,37.36,46,294,15.85,16.41,157
"100485.5659623146 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,216,37.28,37.69,67,259,15.06,15.56,137
"100533.46499204636 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,201,37.35,37.74,47,272,14.49,15.02,141
"100581.53097438812 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,256,39.0,39.49,47,268,15.58,16.09,157
"100629.53794813156 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,167,36.34,36.66,47,343,17.84,18.5,157
"100677.57597589493 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,168,36.52,36.84,47,286,14.69,15.24,141
"100725.53699445724 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,218,38.04,38.46,47,310,17.35,17.94,157
"100773.91596078873 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,275,41.17,41.69,54,330,17.08,17.71,157
"100821.57895612717 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,274,40.77,41.3,63,297,15.48,16.05,141
"100871.61695814133 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,229,39.22,39.66,49,260,13.8,14.3,152
"100917.5289478302 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,276,40.99,41.52,63,276,14.57,15.1,141
"100967.7449889183 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,166,37.52,37.84,47,249,13.53,14.01,142
"101013.573949337 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,260,41.19,41.69,47,253,14.3,14.78,141
"101061.5659623146 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,216,39.42,39.83,37,264,13.75,14.26,156
"101109.55195522308 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,191,39.32,39.69,46,277,14.96,15.49,141
"101157.54694843292 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,270,42.1,42.62,46,261,14.71,15.22,157
"101205.5499882698 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,277,41.85,42.39,72,275,16.88,17.41,132
"101269.79094266891 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,201,39.52,39.9,46,297,14.71,15.29,157
"101301.54295492172 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,244,40.75,41.22,65,282,15.01,15.55,139
"101349.49997997284 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,283,43.23,43.78,63,270,14.47,14.99,141
"101397.48495960236 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,287,43.01,43.56,63,267,13.73,14.24,143
"101445.59194993973 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,218,40.8,41.22,45,291,15.06,15.62,141
"101494.33796167374 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,288,44.22,44.77,63,274,15.75,16.27,141
"101541.54194164276 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,270,44.51,45.03,47,261,13.95,14.45,156
"101590.29695367813 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,307,44.19,44.78,74,277,14.86,15.39,151
"101637.54194164276 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,236,41.56,42.01,47,280,14.17,14.71,157
"101695.31895112991 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,244,42.42,42.89,47,268,13.9,14.42,157
